"eventID","parentEventID","habitat","locationID","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","locality","sampleSizeValue","sampleSizeUnit","eventDate","eventType","samplingProtocol","eventRemarks","identifiedBy","county","stateProvince","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation"
"NEON",,,,"US",,,,,,,,"2014-04-02 18:51:00/2024-11-14 17:46:00","project","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D01","NEON",,"D01","US",42.89,-74.46,1091799.45,"WGS84","Northeast (D01)",,,"2014-05-06 15:05:00/2024-09-24 15:53:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D02","NEON",,"D02","US",35.95,-79.65,886557.43,"WGS84","Mid-Atlantic (D02)",,,"2014-06-09 16:30:00/2024-10-09 19:42:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D03","NEON",,"D03","US",31,-83.46,1588076.75,"WGS84","Southeast (D03)",,,"2014-04-16 21:24:00/2024-09-10 15:40:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D04","NEON",,"D04","US",26.24,-80.79,1948144.11,"WGS84","Atlantic Neotropical (D04)",,,"2016-04-13 11:00:00/2024-10-01 16:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,,,
"D05","NEON",,"D05","US",44.96,-87.71,1100206.81,"WGS84","Great Lakes (D05)",,,"2014-06-04 18:14:00/2024-09-17 18:48:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D06","NEON",,"D06","US",41.19,-92.31,939615.08,"WGS84","Prairie Peninsula (D06)",,,"2015-07-01 12:40:00/2024-09-23 17:32:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D07","NEON",,"D07","US",37.62,-84.03,541175.06,"WGS84","Appalachians & Cumberland Plateau (D07)",,,"2014-05-12 14:01:00/2024-09-19 15:57:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D08","NEON",,"D08","US",34.74,-91.01,879868.22,"WGS84","Ozarks Complex (D08)",,,"2014-05-27 14:35:00/2024-09-30 21:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D09","NEON",,"D09","US",45.91,-102.72,1273420.14,"WGS84","Northern Plains (D09)",,,"2014-05-13 15:36:00/2024-09-05 20:56:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
