"eventID","parentEventID","habitat","locationID","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","locality","sampleSizeValue","sampleSizeUnit","eventDate","eventType","samplingProtocol","eventRemarks","identifiedBy","county","stateProvince","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumElevationinMeters","maximumElevationinMeters"
"NEON",NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,"2014-04-02 18:51:00/2024-11-14 17:46:00","project","Drag sampling | Flagging",NA,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",NA,NA,NA,NA,NA,NA,NA
"D02","NEON",NA,"D02","US",35.95,-79.65,886557.43,"WGS84","Mid-Atlantic (D02)",NA,NA,"2014-06-09 16:30:00/2024-10-09 19:42:00","survey","Drag sampling | Flagging",NA,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",NA,NA,NA,NA,NA,NA,NA
"SCBI","D02","Deciduous Forest | Evergreen Forest | Pasture/Hay","SCBI","US",38.892925,-78.139494,NA,"WGS84","Smithsonian Conservation Biology Institute NEON (SCBI)",NA,NA,"2014-06-09 16:30:00/2024-10-09 19:42:00","survey","Drag sampling | Flagging",NA,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Warren","VA",251,571,"m",NA,NA
"SCBI_014","SCBI","deciduousForest","SCBI_014","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2014-06-10 16:02:00/2024-10-09 19:19:00","survey","Drag sampling | Flagging",NA,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20140610","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",167,"m","2014-06-10 16:02:00","site visit","drag and flag","1 adult; 43 nymphs; 1 larvae","Lorenza Beati | Michael Bischof",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190325","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",167,"m","2019-03-25 12:47:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190416","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2019-04-16 17:38:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190515","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",158,"m","2019-05-15 15:45:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190530","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",157,"m","2019-05-30 16:59:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190617","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",155,"m","2019-06-17 13:55:00","site visit","drag and flag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190715","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2019-07-15 16:19:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
