"eventID","occurrenceID","measurementType","measurementValue","measurementRemarks"
"SCBI_014",NA,"Plot Type","distributed",NA
"SCBI_014.20140610",NA,"Adult Count","1","Excludes records where adultCount is NA"
"SCBI_014.20140610",NA,"Nymph Count","43","Excludes records where nymphCount is NA"
"SCBI_014.20140610",NA,"Larva Count","1","Excludes records where larvaCount is NA"
"SCBI_014.20190325",NA,"Sample Barcode","A00000035225",NA
"SCBI_014.20190416",NA,"Sample Barcode","A00000035292",NA
"SCBI_014.20190515",NA,"Sample Barcode","A00000001363",NA
"SCBI_014.20190530",NA,"Sample Barcode","A00000035460",NA
"SCBI_014.20190617",NA,"Sample Barcode","A00000034588",NA
"SCBI_014.20190715",NA,"Sample Barcode","A00000069127",NA
"SCBI_014.20190729",NA,"Sample Barcode","A00000069128",NA
"SCBI_014.20190819",NA,"Sample Barcode","A00000069136",NA
"SCBI_014.20190911",NA,"Sample Barcode","A00000069308",NA
"SCBI_014.20191007",NA,"Sample Barcode","A00000071833",NA
"SCBI_014.20200715",NA,"Sample Barcode","A00000069907",NA
"SCBI_014.20200803",NA,"Sample Barcode","A00000069137",NA
"SCBI_014.20200824",NA,"Sample Barcode","A00000161571",NA
"SCBI_014.20200914",NA,"Sample Barcode","A00000161569",NA
"SCBI_014.20210519",NA,"Sample Barcode","A00000162732",NA
"SCBI_014.20210607",NA,"Sample Barcode","A00000162747",NA
"SCBI_014.20210621",NA,"Sample Barcode","A00000162755",NA
"SCBI_014.20210714",NA,"Sample Barcode","A00000069163",NA
"SCBI_014.20210802",NA,"Sample Barcode","A00000162725",NA
"SCBI_014.20210824",NA,"Sample Barcode","A00000162745",NA
"SCBI_014.20210913",NA,"Sample Barcode","A00000162841",NA
"SCBI_014.20220509",NA,"Sample Barcode","A00000069768",NA
"SCBI_014.20220531",NA,"Sample Barcode","A00000167676",NA
"SCBI_014.20220620",NA,"Sample Barcode","A00000003290",NA
"SCBI_014.20220713",NA,"Sample Barcode","A00000166855",NA
"SCBI_014.20220803",NA,"Sample Barcode","A00000167607",NA
"SCBI_014.20220822",NA,"Sample Barcode","A00000167635",NA
"SCBI_014.20220915",NA,"Sample Barcode","A00000166854",NA
"SCBI_014.20230327",NA,"Sample Barcode","A00000323542",NA
"SCBI_014.20230417",NA,"Sample Barcode","A00000323570",NA
"SCBI_014.20230508",NA,"Sample Barcode","A00000323541",NA
"SCBI_014.20230531",NA,"Sample Barcode","A00000323540",NA
"SCBI_014.20230619",NA,"Sample Barcode","A00000323969",NA
"SCBI_014.20230710",NA,"Sample Barcode","A00000323970",NA
"SCBI_014.20230802",NA,"Sample Barcode","A00000166850",NA
"SCBI_014.20230821",NA,"Sample Barcode","A00000324054",NA
"SCBI_014.20230911",NA,"Sample Barcode","A00000324053",NA
"SCBI_014.20240415",NA,"Sample Barcode","A00000370859",NA
"SCBI_014.20240508",NA,"Sample Barcode","A00000324349",NA
"SCBI_014.20240528",NA,"Sample Barcode","A00000323546",NA
"SCBI_014.20240617",NA,"Sample Barcode","A00000371164",NA
"SCBI_014.20240708",NA,"Sample Barcode","A00000324319",NA
"SCBI_014.20240729",NA,"Sample Barcode","A00000371298",NA
"SCBI_014.20240821",NA,"Sample Barcode","A00000371436",NA
"SCBI_014.20240909",NA,"Sample Barcode","A00000371434",NA
"SCBI_014.20241009",NA,"Sample Barcode","A00000371435",NA
"SCBI_014.20140610","SCBI_014.20140610.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20140610","SCBI_014.20140610.L","Tick Sample Condition","OK",NA
"SCBI_014.20140610","SCBI_014.20140610.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20140610","SCBI_014.20140610.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20190325","SCBI_014.20190325.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20190416","SCBI_014.20190416.AMBAME.M","Tick Sample Condition","OK",NA
"SCBI_014.20190515","SCBI_014.20190515.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20190515","SCBI_014.20190515.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190530","SCBI_014.20190530.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190530","SCBI_014.20190530.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20190617","SCBI_014.20190617.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20190617","SCBI_014.20190617.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20190617","SCBI_014.20190617.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190617","SCBI_014.20190617.AMBAME.F","Tick Sample Condition","OK",NA
"SCBI_014.20190715","SCBI_014.20190715.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20190715","SCBI_014.20190715.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190715","SCBI_014.20190715.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20190715","SCBI_014.20190715.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20190715","SCBI_014.20190715.AMBAME.M","Tick Sample Condition","OK",NA
"SCBI_014.20190729","SCBI_014.20190729.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190729","SCBI_014.20190729.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20190729","SCBI_014.20190729.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20190819","SCBI_014.20190819.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20190819","SCBI_014.20190819.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20190911","SCBI_014.20190911.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20190911","SCBI_014.20190911.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20191007","SCBI_014.20191007.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20200715","SCBI_014.20200715.DERVAR.F","Tick Sample Condition","OK",NA
