"resourceID","relatedResourceID","relationshipOfResource"
"10c59c74-f080-4745-bca1-caa4c3b12c28","SCBI_014.20140610.AMBAME.N","pathogen of"
"4f7d9c87-35bc-4591-8268-f92ddb38cfd5","SCBI_014.20140610.AMBAME.N","pathogen of"
"9011a3d4-c6b8-4807-815e-6e660ff3f14e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"fa7976fc-30ca-4057-a1e0-8ee078970c33","SCBI_014.20140610.IXOSCA.N","pathogen of"
"7e658202-881f-4193-a48b-ef29e49ea401","SCBI_014.20140610.AMBAME.N","pathogen of"
"4c551bdc-c86d-4fe0-a79a-018068d26411","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d32cc421-46b3-430f-b716-53d78ea81819","SCBI_014.20140610.IXOSCA.N","pathogen of"
"f68c5b77-aa43-42bf-b26a-230f8513bb7a","SCBI_014.20140610.AMBAME.N","pathogen of"
"ba931bb9-db3b-4588-b97f-487b9d1d8635","SCBI_014.20140610.IXOSCA.N","pathogen of"
"51de664f-24d6-494d-9eda-9a69ac2f1eda","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d452f80c-589e-4b36-93fb-ac2037690241","SCBI_014.20140610.IXOSCA.N","pathogen of"
"bc0e19bb-5ee9-4f60-8193-8b7f4fc4f92d","SCBI_014.20140610.AMBAME.N","pathogen of"
"b549244d-ba71-486b-a108-331a313ee15b","SCBI_014.20140610.IXOSCA.N","pathogen of"
"d7f94665-52fe-4e08-8abd-9bf775f01a31","SCBI_014.20140610.AMBAME.N","pathogen of"
"239a61f0-390d-45c8-8dab-18b0f38d8ae9","SCBI_014.20140610.AMBAME.N","pathogen of"
"a635609c-2fd8-4dbf-b1a0-73ce0144c3d9","SCBI_014.20140610.IXOSCA.N","pathogen of"
"4b473c33-4b85-43ed-a75c-65d617b5462f","SCBI_014.20140610.AMBAME.N","pathogen of"
"48b31359-26f2-406d-a531-262eb9bbb70d","SCBI_014.20140610.AMBAME.N","pathogen of"
"f5e5dc02-9e7a-4844-a0cc-99a640dab63e","SCBI_014.20140610.IXOSCA.N","pathogen of"
"5fcc0965-4e84-4eb3-a165-49cbe4627ac7","SCBI_014.20140610.IXOSCA.N","pathogen of"
"b11875e1-2711-42ec-b3b2-bed81d210484","SCBI_014.20140610.IXOSCA.N","pathogen of"
"748991f3-6541-484a-8c6a-1040090e9d86","SCBI_014.20140610.IXOSCA.N","pathogen of"
